text,category
"Experience in Python, Django, and REST APIs. Built multiple backend systems.",Backend Developer
"Skilled in React, JavaScript, HTML, and CSS. Focused on user-friendly interfaces.",Frontend Developer
"Proficient in Scikit-learn, TensorFlow, and Pandas. Built churn prediction models.",Data Scientist
"Managed AWS, Docker, and Kubernetes environments. Automated CI/CD pipelines.",DevOps Engineer
"Developed backend services using Java, Spring Boot, and microservices.",Backend Developer
"Designed user flows and prototypes. Expertise in Figma and user testing.",UX/UI Designer
"Analyzed data using SQL and Tableau. Created dashboards for business insights.",Data Analyst
"Led machine learning projects, researched new algorithms, deep learning.",Data Scientist
"JavaScript and Node.js expert. Built scalable server-side applications.",Backend Developer
"Created responsive web designs with HTML5, CSS3, and React.",Frontend Developer
"SQL and database management. Data warehousing and ETL processes.",Data Analyst
"Natural Language Processing (NLP) and computer vision (CV) projects.",Data Scientist
"Certified AWS Solutions Architect. Managed cloud infrastructure and CI/CD.",DevOps Engineer
"User-centric design, wireframing, and usability testing with Figma.",UX/UI Designer
"Core Java, Spring, and Hibernate. Enterprise application development.",Backend Developer
"Frontend development with Vue.js and TypeScript. State management with Pinia.",Frontend Developer
"Data visualization with Power BI and Tableau. Reporting to stakeholders.",Data Analyst
"Kubernetes and Terraform expert. Infrastructure as Code (IaC) specialist.",DevOps Engineer
"Built and deployed machine learning models using Kubeflow and MLOps.",Data Scientist
"Adobe XD, Sketch, and InVision. Mobile app design and prototyping.",UX/UI Designer
